YYWW,DOGA,MAX(PAY),MIN(PAY),A1,A2,B1,B2,C1,C2,D1,D2,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
201827,5537.4,5585,5492,-277794,-286050,-487450,-492010,-32996,-68305,-1067470,-1074910,68,25.4,24.8,17.7,32.6,14.9
201828,5552,5617,5436,-339980,-347900,-532560,-534240,-63114,-102355,-1105165,-1112725,78.3,27.4,25.9,20.1,33.2,13.1
201829,5204.6,5385,4865,-320214,-330390,-508636,-512860,-42981,-78650,-1081293,-1089285,61.3,31.7,29.4,23.2,38,14.8
201830,4448.4,4771,4166,-297216,-306480,-453570,-456210,-76315,-114090,-1079300,-1084820,63.6,35.1,30.7,26.4,36.8,10.4
201831,4453.8,4555,4339,-412606,-422350,-624540,-626460,-38085,-89835,-1052050,-1061650,56.8,36.6,32.3,26.2,39.6,13.4
201832,4714.8,4805,4613,-315780,-324180,-669315,-673275,-30480,-77345,-1116096,-1123680,64.7,34.9,30.4,25.7,36.8,11.1
201833,4844.5,4962,4801,-386166,-395670,-587860,-588580,-61517,-110695,-1128895,-1137655,53.7,31.5,29.4,21.5,38,16.5
201834,4859.6,4946,4789,-392609,-400985,-812585,-816785,-49081,-106680,-1303949,-1311125,66.4,28.1,26.9,20.3,37.6,17.3
201835,5077.7,5182,5017,-366523,-376675,-850915,-853435,-53856,-103895,-1292632,-1301800,76.3,24.7,24.7,20.1,30.9,10.8
201836,5097.2,5256,4955,-448691,-455435,-833482,-835450,-42751,-108525,-1258940,-1268300,63.1,23,22.9,15.6,28.9,13.3
201837,5000.7,5215,4087,-424449,-430665,-895163,-902195,-58461,-118695,-1440096,-1447920,62.6,22.8,22.8,16.8,28.4,11.6
201838,4405,5226,3794,-557177,-569345,-1110570,-1115370,-64185,-138585,-1584250,-1595770,66.9,20.7,20.7,15.6,27.7,12.1
201839,4830.5,4945,4716,-278575,-284935,-872590,-876430,-48772,-97410,-1065032,-1069880,51.1,18.4,18.4,10.8,27,16.2
201840,4392.5,4714,4132,-410732,-418940,-926465,-928505,-68615,-129835,-1463448,-1468920,64.9,17,17,10.3,25.6,15.3
201841,3931,4209,3635,-425914,-431290,-968272,-968560,-63219,-117510,-1464268,-1473340,54,12.6,12.6,5.2,20.9,15.7
201842,3728.6,3766,3696,-446140,-456940,-1118272,-1122160,-68825,-117315,-1404561,-1414185,56.7,13.5,13.5,6.9,21.4,14.5
201843,3759.4,3847,3657,-461813,-471965,-983410,-985570,-115811,-179140,-1390528,-1399360,63.4,11.8,11.7,5.2,21.2,16
201844,3582,3620,3494,-488787,-501195,-1094672,-1105040,-44113,-99780,-1502890,-1508170,54.8,8.9,8.9,0.7,19.4,18.7
201845,3558.8,3603,3494,-516156,-526620,-1050995,-1052555,-86298,-143615,-1375881,-1384065,74,11.6,11.5,5.4,18.3,12.9
201846,3634.8,3663,3603,-444282,-454170,-1206355,-1207435,-64036,-119295,-1363675,-1373395,54.5,8,8,0.6,16.6,16
201847,3744.2,3830,3655,-502699,-513715,-1093350,-1094070,-67044,-118385,-1292038,-1302070,51.9,4.4,4.3,-3.1,12.7,15.8
201848,3825.2,3875,3731,-433152,-445680,-1208324,-1209860,-67913,-120645,-1305725,-1315445,48.9,5.4,5.5,-1.5,13.6,15.1
