YYWW,DOGA,MAX(PAY),MIN(PAY),YYYY,A1,A2,B1,B2,C1,C2,D1,D2,YYWW_1,TEMP1,TEMP2,TEMP3,TEMP4,TEMP5,TEMP6
2020-29,5094.4,5165,5013,2020-29,-354308,-360020,-720060,-721260,-88098,-140960,-1325575,-1328575,2020-29,74.6,24.7,24.8,18.9,31.6,12.7
2020-37,4991.3,5112,4777,2020-37,-346610,-349250,-623380,-623380,-104969,-149290,-1181986,-1184770,2020-37,77.4,21.7,21.8,16.7,27.7,11
2020-44,3684.4,3846,3453,2020-44,-358225,-362905,-608551,-610975,-93476,-139685,-1063312,-1063840,2020-44,55.6,11.5,11.4,2.7,19.6,16.9
2020-50,4652.4,4705,4596,2020-50,-331100,-336620,-571700,-572420,-82955,-122010,-1333713,-1338585,2020-50,59.9,-0.2,-0.3,-11.1,9.4,20.5
Mar-21,3664.8,3703,3597,Mar-21,-352955,-358595,-571380,-571380,-83806,-122890,-1334680,-1335880,Mar-21,54.7,-1.7,-1.7,-11.6,9.9,21.5
Aug-21,3675.6,3810,3411,Aug-21,-428612,-434420,-606165,-606285,-94172,-136390,-1182740,-1185140,Aug-21,50.7,5,5.2,-7.1,17.4,24.5
2021-16,4717.8,4774,4642,2021-16,-367000,-371320,-474410,-474890,-84961,-121745,-1044777,-1048065,2021-16,55.1,13.8,14,5.6,28.2,22.6
2021-17,4770.6,4901,4657,2021-17,-359405,-363365,-426930,-426930,-86048,-123355,-1042342,-1045750,2021-17,52.1,16.7,16.6,10.9,24,13.1
May-17,4094.8,4187,3948,May-17,-333769,-345265,-1184830,-1189150,-31552,-74750,-1429796,-1447220,May-17,58.2,-1.9,-2,-9.9,6.7,16.6
Jul-17,4249.4,4332,4126,Jul-17,-361426,-375010,-956210,-958130,-42156,-96910,-1342758,-1354230,Jul-17,54,0.6,0.5,-7.4,10.3,17.7
2017-25,5427.2,5522,5187,2017-25,-442670,-457070,-696743,-703055,-32862,-89470,-1306111,-1318135,2017-25,52.6,25.4,25.3,18.6,34.1,15.5
2017-29,5119.4,5289,4871,2017-29,-458566,-472150,-614140,-621820,-69063,-136875,-1322258,-1340930,2017-29,75.7,31,28.1,23.4,34.9,11.5
2017-40,4548.5,4919,4178,2017-40,-250150,-254230,-547090,-553090,-34392,-59300,-814090,-817930,2017-40,61.4,19,19.1,10.7,29.4,18.7
May-18,4218.2,4368,4055,May-18,-434991,-448455,-1000702,-1001230,-78159,-139005,-1187741,-1203365,May-18,47.8,-5.6,-5.7,-12.8,3.8,16.6
Sep-18,3918,4027,3802,Sep-18,-485444,-494900,-944330,-944330,-44455,-111700,-1180294,-1189990,Sep-18,55.2,4,4.1,-6.7,16.2,22.9
Dec-18,4105,4188,3989,Dec-18,-510198,-519270,-849514,-850330,-53540,-118935,-1138766,-1146830,Dec-18,59.1,6.2,6.1,0.6,16.9,16.3
2018-13,4770.8,5335,4319,2018-13,-491860,-501940,-917650,-917890,-49973,-108000,-1045164,-1055580,2018-13,62.3,13.9,14,5.3,21.9,16.6
2018-26,5366,5491,5308,2018-26,-553409,-566105,-929452,-933580,-95351,-158830,-1284160,-1295200,2018-26,80.7,23.9,23.7,19.1,32.9,13.8
2018-28,5552,5617,5436,2018-28,-339980,-347900,-532560,-534240,-63114,-102355,-1105165,-1112725,2018-28,78.3,27.4,25.9,20.1,33.2,13.1
2018-29,5204.6,5385,4865,2018-29,-320214,-330390,-508636,-512860,-42981,-78650,-1081293,-1089285,2018-29,61.3,31.7,29.4,23.2,38,14.8
2018-33,4844.5,4962,4801,2018-33,-386166,-395670,-587860,-588580,-61517,-110695,-1128895,-1137655,2018-33,53.7,31.5,29.4,21.5,38,16.5
2022-22,6179.3,6284,6063,2022-22,-380190,-384990,-614780,-614780,-103979,-152605,-1364648,-1372280,2022-22,58.4,22.1,22.1,14.2,32.6,18.4
2022-32,5864.2,6036,5591,2022-32,-386932,-394180,-700950,-700950,-143792,-194715,-1015914,-1021290,2022-32,86.2,29.3,26.6,21.4,32.4,11
2022-44,5157,5157,5157,2022-44,-25487,-28775,-167390,-167390,-17543,-25165,-189502,-189550,2022-44,65.3,14.8,14.9,10.2,21.3,11.1
2021-22,5101,5227,4834,2021-22,-324320,-329600,-487640,-487640,-74902,-107795,-1019182,-1022110,2021-22,77,18.8,18.8,10.8,29.7,18.9
2021-23,5140.2,5168,5111,2021-23,-350680,-356440,-429070,-429070,-79318,-114245,-1081242,-1082970,2021-23,67.9,22.4,22.5,13.3,31.6,18.3
2021-27,5335.4,5385,5232,2021-27,-387615,-391575,-434030,-434030,-93794,-139475,-1111191,-1116495,2021-27,79.4,24.8,24.6,19.6,31.8,12.2
2021-32,5274.6,5499,5124,2021-32,-373285,-378685,-548390,-550790,-92117,-145880,-1152550,-1156390,2021-32,67.8,29.6,27.6,23.3,33.6,10.3
2021-36,5830.6,5869,5730,2021-36,-400555,-405235,-572907,-576195,-105652,-152240,-1271372,-1273340,2021-36,72,22.6,22.6,17.6,29.2,11.6
2021-38,5178.5,5204,5153,2021-38,-174970,-179050,-362380,-362380,-58289,-100620,-807560,-809000,2021-38,69.2,22.5,22.6,16.8,29.8,13
2021-39,5136.2,5291,4961,2021-39,-443809,-450745,-666620,-671420,-119311,-170295,-1292716,-1296700,2021-39,74.6,21.3,21.3,16,27.3,11.3
2021-42,4428.2,4545,4359,2021-42,-359795,-364715,-606590,-606590,-110060,-158320,-1280732,-1284140,2021-42,60.2,10.8,10.7,1.3,21.4,20.1
2021-50,5538.8,5756,5229,2021-50,-355174,-361750,-659850,-660810,-103915,-151280,-1420668,-1423980,2021-50,70.3,4.2,4.2,-5.9,10,15.9
2022-13,4404.6,4522,4316,2022-13,-411002,-417050,-561270,-561270,-95032,-143455,-1157032,-1159720,2022-13,59.4,9.8,9.8,1.5,15.7,14.2
2022-18,6665.5,6786,6599,2022-18,-340580,-345620,-487410,-487410,-83100,-115410,-1233722,-1234730,2022-18,54.9,15.9,16,7.9,25.8,17.9
2022-19,6398.8,6574,6199,2022-19,-391250,-395330,-530390,-530390,-94092,-145150,-1301152,-1309600,2022-19,50,18.8,18.8,11,28.1,17.1
